Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	file	syllable	year
1	Waveform 1	2	13.682418370	13.682418370	0.0	48000.0	18-ZOOM0002	a	2023
2	Waveform 1	2	13.689678913	13.689678913	0.0	48000.0	18-ZOOM0002	a	2023
3	Waveform 1	2	13.697799255	13.697799255	0.0	48000.0	18-ZOOM0002	a	2023
4	Waveform 1	2	13.708668043	13.708668043	0.0	48000.0	18-ZOOM0002	a	2023
5	Waveform 1	2	13.717435084	13.717435084	0.0	48000.0	18-ZOOM0002	a	2023
6	Waveform 1	2	13.726878208	13.726878208	0.0	48000.0	18-ZOOM0002	a	2023
7	Waveform 1	2	13.737813123	13.737813123	0.0	48000.0	18-ZOOM0002	a	2023
8	Waveform 1	2	13.745382322	13.745382322	0.0	48000.0	18-ZOOM0002	a	2023
9	Waveform 1	2	13.756545058	13.756545058	0.0	48000.0	18-ZOOM0002	a	2023
10	Waveform 1	2	13.764981407	13.764981407	0.0	48000.0	18-ZOOM0002	a	2023
11	Waveform 1	2	13.773888074	13.773888074	0.0	48000.0	18-ZOOM0002	a	2023
12	Waveform 1	2	13.785344749	13.785344749	0.0	48000.0	18-ZOOM0002	a	2023
13	Waveform 1	2	13.792965399	13.792965399	0.0	48000.0	18-ZOOM0002	a	2023
14	Waveform 1	2	13.804723372	13.804723372	0.0	48000.0	18-ZOOM0002	a	2023
15	Waveform 1	2	13.813100931	13.813100931	0.0	48000.0	18-ZOOM0002	a	2023
16	Waveform 1	2	13.823697804	13.823697804	0.0	48000.0	18-ZOOM0002	a	2023
17	Waveform 1	2	13.836712420	13.836712420	0.0	48000.0	18-ZOOM0002	a	2023
18	Waveform 1	2	14.193640536	14.193640536	0.0	48000.0	18-ZOOM0002	b	2023
19	Waveform 1	2	14.200812903	14.200812903	0.0	48000.0	18-ZOOM0002	b	2023
20	Waveform 1	2	14.208764236	14.208764236	0.0	48000.0	18-ZOOM0002	b	2023
21	Waveform 1	2	14.219412550	14.219412550	0.0	48000.0	18-ZOOM0002	b	2023
22	Waveform 1	2	14.228010571	14.228010571	0.0	48000.0	18-ZOOM0002	b	2023
23	Waveform 1	2	14.237328766	14.237328766	0.0	48000.0	18-ZOOM0002	b	2023
24	Waveform 1	2	14.248381272	14.248381272	0.0	48000.0	18-ZOOM0002	b	2023
25	Waveform 1	2	14.255810845	14.255810845	0.0	48000.0	18-ZOOM0002	b	2023
26	Waveform 1	2	14.267179335	14.267179335	0.0	48000.0	18-ZOOM0002	b	2023
27	Waveform 1	2	14.275152714	14.275152714	0.0	48000.0	18-ZOOM0002	b	2023
28	Waveform 1	2	14.284272494	14.284272494	0.0	48000.0	18-ZOOM0002	b	2023
29	Waveform 1	2	14.295060446	14.295060446	0.0	48000.0	18-ZOOM0002	b	2023
30	Waveform 1	2	14.302431218	14.302431218	0.0	48000.0	18-ZOOM0002	b	2023
31	Waveform 1	2	14.313836462	14.313836462	0.0	48000.0	18-ZOOM0002	b	2023
32	Waveform 1	2	14.321207246	14.321207246	0.0	48000.0	18-ZOOM0002	b	2023
33	Waveform 1	2	14.331076596	14.331076596	0.0	48000.0	18-ZOOM0002	b	2023
34	Waveform 1	2	14.341430961	14.341430961	0.0	48000.0	18-ZOOM0002	b	2023
35	Waveform 1	2	14.349992238	14.349992238	0.0	48000.0	18-ZOOM0002	b	2023
36	Waveform 1	2	14.362316074	14.362316074	0.0	48000.0	18-ZOOM0002	b	2023
37	Waveform 1	2	14.371127207	14.371127207	0.0	48000.0	18-ZOOM0002	b	2023
38	Waveform 1	2	14.385001624	14.385001624	0.0	48000.0	18-ZOOM0002	b	2023
39	Waveform 1	2	14.881732089	14.881732089	0.0	48000.0	18-ZOOM0002	c	2023
40	Waveform 1	2	14.888941200	14.888941200	0.0	48000.0	18-ZOOM0002	c	2023
41	Waveform 1	2	14.897237923	14.897237923	0.0	48000.0	18-ZOOM0002	c	2023
42	Waveform 1	2	14.908194895	14.908194895	0.0	48000.0	18-ZOOM0002	c	2023
43	Waveform 1	2	14.916910495	14.916910495	0.0	48000.0	18-ZOOM0002	c	2023
