Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	file	syllable	year
1	Waveform 1	2	44.429656389	44.429656389	0.000	48000.000	22-ZOOM0004	a	2023
2	Waveform 1	2	44.436045526	44.436045526	0.000	48000.000	22-ZOOM0004	a	2023
3	Waveform 1	2	44.444600602	44.444600602	0.000	48000.000	22-ZOOM0004	a	2023
4	Waveform 1	2	44.455764511	44.455764511	0.000	48000.000	22-ZOOM0004	a	2023
5	Waveform 1	2	44.464160319	44.464160319	0.000	48000.000	22-ZOOM0004	a	2023
6	Waveform 1	2	44.473822679	44.473822679	0.000	48000.000	22-ZOOM0004	a	2023
7	Waveform 1	2	44.485646020	44.485646020	0.000	48000.000	22-ZOOM0004	a	2023
8	Waveform 1	2	44.493029893	44.493029893	0.000	48000.000	22-ZOOM0004	a	2023
9	Waveform 1	2	44.503181588	44.503181588	0.000	48000.000	22-ZOOM0004	a	2023
10	Waveform 1	2	44.513666865	44.513666865	0.000	48000.000	22-ZOOM0004	a	2023
11	Waveform 1	2	44.521860287	44.521860287	0.000	48000.000	22-ZOOM0004	a	2023
12	Waveform 1	2	44.533187452	44.533187452	0.000	48000.000	22-ZOOM0004	a	2023
13	Waveform 1	2	44.541739948	44.541739948	0.000	48000.000	22-ZOOM0004	a	2023
14	Waveform 1	2	44.551780967	44.551780967	0.000	48000.000	22-ZOOM0004	a	2023
15	Waveform 1	2	44.561939502	44.561939502	0.000	48000.000	22-ZOOM0004	a	2023
16	Waveform 1	2	44.571281960	44.571281960	0.000	48000.000	22-ZOOM0004	a	2023
17	Waveform 1	2	44.582145585	44.582145585	0.000	48000.000	22-ZOOM0004	a	2023
18	Waveform 1	2	44.593662081	44.593662081	0.000	48000.000	22-ZOOM0004	a	2023
19	Waveform 1	2	44.947291449	44.947291449	0.000	48000.000	22-ZOOM0004	b	2023
20	Waveform 1	2	44.953402242	44.953402242	0.000	48000.000	22-ZOOM0004	b	2023
21	Waveform 1	2	44.961817636	44.961817636	0.000	48000.000	22-ZOOM0004	b	2023
22	Waveform 1	2	44.972694319	44.972694319	0.000	48000.000	22-ZOOM0004	b	2023
23	Waveform 1	2	44.981148885	44.981148885	0.000	48000.000	22-ZOOM0004	b	2023
24	Waveform 1	2	44.991013641	44.991013641	0.000	48000.000	22-ZOOM0004	b	2023
25	Waveform 1	2	45.002543185	45.002543185	0.000	48000.000	22-ZOOM0004	b	2023
26	Waveform 1	2	45.010351418	45.010351418	0.000	48000.000	22-ZOOM0004	b	2023
27	Waveform 1	2	45.020947370	45.020947370	0.000	48000.000	22-ZOOM0004	b	2023
28	Waveform 1	2	45.029343170	45.029343170	0.000	48000.000	22-ZOOM0004	b	2023
29	Waveform 1	2	45.038163339	45.038163339	0.000	48000.000	22-ZOOM0004	b	2023
30	Waveform 1	2	45.048543847	45.048543847	0.000	48000.000	22-ZOOM0004	b	2023
31	Waveform 1	2	45.056874369	45.056874369	0.000	48000.000	22-ZOOM0004	b	2023
32	Waveform 1	2	45.066504086	45.066504086	0.000	48000.000	22-ZOOM0004	b	2023
33	Waveform 1	2	45.077119633	45.077119633	0.000	48000.000	22-ZOOM0004	b	2023
34	Waveform 1	2	45.085091082	45.085091082	0.000	48000.000	22-ZOOM0004	b	2023
35	Waveform 1	2	45.095987350	45.095987350	0.000	48000.000	22-ZOOM0004	b	2023
36	Waveform 1	2	45.104703061	45.104703061	0.000	48000.000	22-ZOOM0004	b	2023
37	Waveform 1	2	45.115063983	45.115063983	0.000	48000.000	22-ZOOM0004	b	2023
38	Waveform 1	2	45.125992903	45.125992903	0.000	48000.000	22-ZOOM0004	b	2023
39	Waveform 1	2	45.570983815	45.570983815	0.000	48000.000	22-ZOOM0004	c	2023
40	Waveform 1	2	45.576964036	45.576964036	0.000	48000.000	22-ZOOM0004	c	2023
41	Waveform 1	2	45.585098700	45.585098700	0.000	48000.000	22-ZOOM0004	c	2023
42	Waveform 1	2	45.596432386	45.596432386	0.000	48000.000	22-ZOOM0004	c	2023
43	Waveform 1	2	45.604710679	45.604710679	0.000	48000.000	22-ZOOM0004	c	2023
44	Waveform 1	2	45.614797399	45.614797399	0.000	48000.000	22-ZOOM0004	c	2023
45	Waveform 1	2	45.626007050	45.626007050	0.000	48000.000	22-ZOOM0004	c	2023
46	Waveform 1	2	45.633625953	45.633625953	0.000	48000.000	22-ZOOM0004	c	2023
47	Waveform 1	2	45.644189262	45.644189262	0.000	48000.000	22-ZOOM0004	c	2023
48	Waveform 1	2	45.653270575	45.653270575	0.000	48000.000	22-ZOOM0004	c	2023
49	Waveform 1	2	45.662031987	45.662031987	0.000	48000.000	22-ZOOM0004	c	2023
50	Waveform 1	2	45.673444016	45.673444016	0.000	48000.000	22-ZOOM0004	c	2023
51	Waveform 1	2	45.680991104	45.680991104	0.000	48000.000	22-ZOOM0004	c	2023
52	Waveform 1	2	45.691149639	45.691149639	0.000	48000.000	22-ZOOM0004	c	2023
53	Waveform 1	2	45.702032859	45.702032859	0.000	48000.000	22-ZOOM0004	c	2023
54	Waveform 1	2	45.711421017	45.711421017	0.000	48000.000	22-ZOOM0004	c	2023
55	Waveform 1	2	45.721847225	45.721847225	0.000	48000.000	22-ZOOM0004	c	2023
56	Waveform 1	2	45.734238555	45.734238555	0.000	48000.000	22-ZOOM0004	c	2023
57	Waveform 1	2	46.086588314	46.086588314	0.000	48000.000	22-ZOOM0004	d	2023
58	Waveform 1	2	46.092770922	46.092770922	0.000	48000.000	22-ZOOM0004	d	2023
59	Waveform 1	2	46.101166709	46.101166709	0.000	48000.000	22-ZOOM0004	d	2023
60	Waveform 1	2	46.111958519	46.111958519	0.000	48000.000	22-ZOOM0004	d	2023
61	Waveform 1	2	46.120491429	46.120491429	0.000	48000.000	22-ZOOM0004	d	2023
62	Waveform 1	2	46.130095031	46.130095031	0.000	48000.000	22-ZOOM0004	d	2023
63	Waveform 1	2	46.141663756	46.141663756	0.000	48000.000	22-ZOOM0004	d	2023
64	Waveform 1	2	46.149452403	46.149452403	0.000	48000.000	22-ZOOM0004	d	2023
65	Waveform 1	2	46.160263799	46.160263799	0.000	48000.000	22-ZOOM0004	d	2023
66	Waveform 1	2	46.168672665	46.168672665	0.000	48000.000	22-ZOOM0004	d	2023
67	Waveform 1	2	46.178034709	46.178034709	0.000	48000.000	22-ZOOM0004	d	2023
68	Waveform 1	2	46.189303117	46.189303117	0.000	48000.000	22-ZOOM0004	d	2023
69	Waveform 1	2	46.196517238	46.196517238	0.000	48000.000	22-ZOOM0004	d	2023
70	Waveform 1	2	46.206688839	46.206688839	0.000	48000.000	22-ZOOM0004	d	2023
71	Waveform 1	2	46.216227155	46.216227155	0.000	48000.000	22-ZOOM0004	d	2023
72	Waveform 1	2	46.224779650	46.224779650	0.000	48000.000	22-ZOOM0004	d	2023
73	Waveform 1	2	46.235604104	46.235604104	0.000	48000.000	22-ZOOM0004	d	2023
74	Waveform 1	2	46.245410093	46.245410093	0.000	48000.000	22-ZOOM0004	d	2023
75	Waveform 1	2	46.256162741	46.256162741	0.000	48000.000	22-ZOOM0004	d	2023
76	Waveform 1	2	46.268397376	46.268397376	0.000	48000.000	22-ZOOM0004	d	2023
77	Waveform 1	2	46.678048856	46.678048856	0.000	48000.000	22-ZOOM0004	e	2023
78	Waveform 1	2	46.684414265	46.684414265	0.000	48000.000	22-ZOOM0004	e	2023
79	Waveform 1	2	46.692829660	46.692829660	0.000	48000.000	22-ZOOM0004	e	2023
80	Waveform 1	2	46.703588827	46.703588827	0.000	48000.000	22-ZOOM0004	e	2023
81	Waveform 1	2	46.712624440	46.712624440	0.000	48000.000	22-ZOOM0004	e	2023
