Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	file	syllable	year
1	Waveform 1	1	55.477570753	55.477570753	0.000	48000.000	15-C14-18-02	a	2018
2	Waveform 1	1	55.484486153	55.484486153	0.000	48000.000	15-C14-18-02	a	2018
3	Waveform 1	1	55.493303956	55.493303956	0.000	48000.000	15-C14-18-02	a	2018
4	Waveform 1	1	55.504228592	55.504228592	0.000	48000.000	15-C14-18-02	a	2018
5	Waveform 1	1	55.512401952	55.512401952	0.000	48000.000	15-C14-18-02	a	2018
6	Waveform 1	1	55.522301139	55.522301139	0.000	48000.000	15-C14-18-02	a	2018
7	Waveform 1	1	55.531538201	55.531538201	0.000	48000.000	15-C14-18-02	a	2018
8	Waveform 1	1	55.541737010	55.541737010	0.000	48000.000	15-C14-18-02	a	2018
9	Waveform 1	1	55.550764626	55.550764626	0.000	48000.000	15-C14-18-02	a	2018
10	Waveform 1	1	55.560921192	55.560921192	0.000	48000.000	15-C14-18-02	a	2018
11	Waveform 1	1	55.570753455	55.570753455	0.000	48000.000	15-C14-18-02	a	2018
12	Waveform 1	1	55.580638360	55.580638360	0.000	48000.000	15-C14-18-02	a	2018
13	Waveform 1	1	55.592381015	55.592381015	0.000	48000.000	15-C14-18-02	a	2018
14	Waveform 1	1	55.603473387	55.603473387	0.000	48000.000	15-C14-18-02	a	2018
15	Waveform 1	1	55.616567279	55.616567279	0.000	48000.000	15-C14-18-02	a	2018
16	Waveform 1	1	55.949593345	55.949593345	0.000	48000.000	15-C14-18-02	b	2018
17	Waveform 1	1	55.956663440	55.956663440	0.000	48000.000	15-C14-18-02	b	2018
18	Waveform 1	1	55.965694075	55.965694075	0.000	48000.000	15-C14-18-02	b	2018
19	Waveform 1	1	55.976471928	55.976471928	0.000	48000.000	15-C14-18-02	b	2018
20	Waveform 1	1	55.985014968	55.985014968	0.000	48000.000	15-C14-18-02	b	2018
21	Waveform 1	1	55.995437243	55.995437243	0.000	48000.000	15-C14-18-02	b	2018
22	Waveform 1	1	56.004203764	56.004203764	0.000	48000.000	15-C14-18-02	b	2018
23	Waveform 1	1	56.014910509	56.014910509	0.000	48000.000	15-C14-18-02	b	2018
24	Waveform 1	1	56.023209751	56.023209751	0.000	48000.000	15-C14-18-02	b	2018
25	Waveform 1	1	56.033723489	56.033723489	0.000	48000.000	15-C14-18-02	b	2018
26	Waveform 1	1	56.043617536	56.043617536	0.000	48000.000	15-C14-18-02	b	2018
27	Waveform 1	1	56.052780228	56.052780228	0.000	48000.000	15-C14-18-02	b	2018
28	Waveform 1	1	56.064787228	56.064787228	0.000	48000.000	15-C14-18-02	b	2018
29	Waveform 1	1	56.073726439	56.073726439	0.000	48000.000	15-C14-18-02	b	2018
30	Waveform 1	1	56.085895931	56.085895931	0.000	48000.000	15-C14-18-02	b	2018
31	Waveform 1	1	56.097496601	56.097496601	0.000	48000.000	15-C14-18-02	b	2018
32	Waveform 1	1	56.592423899	56.592423899	0.000	48000.000	15-C14-18-02	c	2018
33	Waveform 1	1	56.599087664	56.599087664	0.000	48000.000	15-C14-18-02	c	2018
34	Waveform 1	1	56.608260515	56.608260515	0.000	48000.000	15-C14-18-02	c	2018
35	Waveform 1	1	56.618631999	56.618631999	0.000	48000.000	15-C14-18-02	c	2018
36	Waveform 1	1	56.627154722	56.627154722	0.000	48000.000	15-C14-18-02	c	2018
37	Waveform 1	1	56.638592860	56.638592860	0.000	48000.000	15-C14-18-02	c	2018
38	Waveform 1	1	56.646038810	56.646038810	0.000	48000.000	15-C14-18-02	c	2018
39	Waveform 1	1	56.656978943	56.656978943	0.000	48000.000	15-C14-18-02	c	2018
40	Waveform 1	1	56.665745464	56.665745464	0.000	48000.000	15-C14-18-02	c	2018
41	Waveform 1	1	56.675771490	56.675771490	0.000	48000.000	15-C14-18-02	c	2018
42	Waveform 1	1	56.687494019	56.687494019	0.000	48000.000	15-C14-18-02	c	2018
43	Waveform 1	1	56.696494180	56.696494180	0.000	48000.000	15-C14-18-02	c	2018
44	Waveform 1	1	56.708826243	56.708826243	0.000	48000.000	15-C14-18-02	c	2018
45	Waveform 1	1	56.718151468	56.718151468	0.000	48000.000	15-C14-18-02	c	2018
46	Waveform 1	1	56.730808555	56.730808555	0.000	48000.000	15-C14-18-02	c	2018
47	Waveform 1	1	57.056998165	57.056998165	0.000	48000.000	15-C14-18-02	d	2018
48	Waveform 1	1	57.063834621	57.063834621	0.000	48000.000	15-C14-18-02	d	2018
