Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	file	syllable	year
1	Waveform 1	2	7.553457189	7.553457189	0.000	48000.000	12-ZOOM0015	a	2022
2	Waveform 1	2	7.561290878	7.561290878	0.000	48000.000	12-ZOOM0015	a	2022
3	Waveform 1	2	7.569782171	7.569782171	0.000	48000.000	12-ZOOM0015	a	2022
4	Waveform 1	2	7.580876765	7.580876765	0.000	48000.000	12-ZOOM0015	a	2022
5	Waveform 1	2	7.588995328	7.588995328	0.000	48000.000	12-ZOOM0015	a	2022
6	Waveform 1	2	7.598598992	7.598598992	0.000	48000.000	12-ZOOM0015	a	2022
7	Waveform 1	2	7.609105370	7.609105370	0.000	48000.000	12-ZOOM0015	a	2022
8	Waveform 1	2	7.617608312	7.617608312	0.000	48000.000	12-ZOOM0015	a	2022
9	Waveform 1	2	7.628976631	7.628976631	0.000	48000.000	12-ZOOM0015	a	2022
10	Waveform 1	2	7.636681699	7.636681699	0.000	48000.000	12-ZOOM0015	a	2022
11	Waveform 1	2	7.646891052	7.646891052	0.000	48000.000	12-ZOOM0015	a	2022
12	Waveform 1	2	7.655615303	7.655615303	0.000	48000.000	12-ZOOM0015	a	2022
13	Waveform 1	2	7.665149085	7.665149085	0.000	48000.000	12-ZOOM0015	a	2022
14	Waveform 1	2	7.675771941	7.675771941	0.000	48000.000	12-ZOOM0015	a	2022
15	Waveform 1	2	7.684874748	7.684874748	0.000	48000.000	12-ZOOM0015	a	2022
16	Waveform 1	2	7.697075889	7.697075889	0.000	48000.000	12-ZOOM0015	a	2022
17	Waveform 1	2	8.032661092	8.032661092	0.000	48000.000	12-ZOOM0015	b	2022
18	Waveform 1	2	8.040303426	8.040303426	0.000	48000.000	12-ZOOM0015	b	2022
19	Waveform 1	2	8.048736484	8.048736484	0.000	48000.000	12-ZOOM0015	b	2022
20	Waveform 1	2	8.059831079	8.059831079	0.000	48000.000	12-ZOOM0015	b	2022
21	Waveform 1	2	8.067926346	8.067926346	0.000	48000.000	12-ZOOM0015	b	2022
22	Waveform 1	2	8.077611545	8.077611545	0.000	48000.000	12-ZOOM0015	b	2022
23	Waveform 1	2	8.087290925	8.087290925	0.000	48000.000	12-ZOOM0015	b	2022
24	Waveform 1	2	8.095933641	8.095933641	0.000	48000.000	12-ZOOM0015	b	2022
25	Waveform 1	2	8.107313608	8.107313608	0.000	48000.000	12-ZOOM0015	b	2022
26	Waveform 1	2	8.115030320	8.115030320	0.000	48000.000	12-ZOOM0015	b	2022
27	Waveform 1	2	8.125495930	8.125495930	0.000	48000.000	12-ZOOM0015	b	2022
28	Waveform 1	2	8.133608668	8.133608668	0.000	48000.000	12-ZOOM0015	b	2022
29	Waveform 1	2	8.143101640	8.143101640	0.000	48000.000	12-ZOOM0015	b	2022
30	Waveform 1	2	8.152734381	8.152734381	0.000	48000.000	12-ZOOM0015	b	2022
31	Waveform 1	2	8.161470241	8.161470241	0.000	48000.000	12-ZOOM0015	b	2022
32	Waveform 1	2	8.172890976	8.172890976	0.000	48000.000	12-ZOOM0015	b	2022
33	Waveform 1	2	8.181085250	8.181085250	0.000	48000.000	12-ZOOM0015	b	2022
34	Waveform 1	2	8.192174020	8.192174020	0.000	48000.000	12-ZOOM0015	b	2022
35	Waveform 1	2	8.203717054	8.203717054	0.000	48000.000	12-ZOOM0015	b	2022
36	Waveform 1	2	8.634988936	8.634988936	0.000	48000.000	12-ZOOM0015	c	2022
37	Waveform 1	2	8.642765220	8.642765220	0.000	48000.000	12-ZOOM0015	c	2022
38	Waveform 1	2	8.651169155	8.651169155	0.000	48000.000	12-ZOOM0015	c	2022
39	Waveform 1	2	8.662257926	8.662257926	0.000	48000.000	12-ZOOM0015	c	2022
40	Waveform 1	2	8.670522087	8.670522087	0.000	48000.000	12-ZOOM0015	c	2022
41	Waveform 1	2	8.680055868	8.680055868	0.000	48000.000	12-ZOOM0015	c	2022
42	Waveform 1	2	8.690480711	8.690480711	0.000	48000.000	12-ZOOM0015	c	2022
43	Waveform 1	2	8.698826407	8.698826407	0.000	48000.000	12-ZOOM0015	c	2022
44	Waveform 1	2	8.710078247	8.710078247	0.000	48000.000	12-ZOOM0015	c	2022
45	Waveform 1	2	8.717783311	8.717783311	0.000	48000.000	12-ZOOM0015	c	2022
46	Waveform 1	2	8.727975111	8.727975111	0.000	48000.000	12-ZOOM0015	c	2022
47	Waveform 1	2	8.737235164	8.737235164	0.000	48000.000	12-ZOOM0015	c	2022
48	Waveform 1	2	8.746442758	8.746442758	0.000	48000.000	12-ZOOM0015	c	2022
49	Waveform 1	2	8.758480744	8.758480744	0.000	48000.000	12-ZOOM0015	c	2022
50	Waveform 1	2	8.767467076	8.767467076	0.000	48000.000	12-ZOOM0015	c	2022
51	Waveform 1	2	8.780926187	8.780926187	0.000	48000.000	12-ZOOM0015	c	2022
52	Waveform 1	2	9.121741069	9.121741069	0.000	48000.000	12-ZOOM0015	d	2022
53	Waveform 1	2	9.129453290	9.129453290	0.000	48000.000	12-ZOOM0015	d	2022
54	Waveform 1	2	9.137758222	9.137758222	0.000	48000.000	12-ZOOM0015	d	2022
55	Waveform 1	2	9.148812046	9.148812046	0.000	48000.000	12-ZOOM0015	d	2022
56	Waveform 1	2	9.156913140	9.156913140	0.000	48000.000	12-ZOOM0015	d	2022
57	Waveform 1	2	9.166033419	9.166033419	0.000	48000.000	12-ZOOM0015	d	2022
58	Waveform 1	2	9.176266072	9.176266072	0.000	48000.000	12-ZOOM0015	d	2022
59	Waveform 1	2	9.184530232	9.184530232	0.000	48000.000	12-ZOOM0015	d	2022
60	Waveform 1	2	9.195572412	9.195572412	0.000	48000.000	12-ZOOM0015	d	2022
61	Waveform 1	2	9.203195940	9.203195940	0.000	48000.000	12-ZOOM0015	d	2022
62	Waveform 1	2	9.213230537	9.213230537	0.000	48000.000	12-ZOOM0015	d	2022
63	Waveform 1	2	9.221908196	9.221908196	0.000	48000.000	12-ZOOM0015	d	2022
64	Waveform 1	2	9.231255527	9.231255527	0.000	48000.000	12-ZOOM0015	d	2022
65	Waveform 1	2	9.241820097	9.241820097	0.000	48000.000	12-ZOOM0015	d	2022
66	Waveform 1	2	9.249991036	9.249991036	0.000	48000.000	12-ZOOM0015	d	2022
67	Waveform 1	2	9.260934205	9.260934205	0.000	48000.000	12-ZOOM0015	d	2022
68	Waveform 1	2	9.269844826	9.269844826	0.000	48000.000	12-ZOOM0015	d	2022
69	Waveform 1	2	9.280543389	9.280543389	0.000	48000.000	12-ZOOM0015	d	2022
70	Waveform 1	2	9.293041551	9.293041551	0.000	48000.000	12-ZOOM0015	d	2022
71	Waveform 1	2	9.725192804	9.725192804	0.000	48000.000	12-ZOOM0015	e	2022
72	Waveform 1	2	9.732905025	9.732905025	0.000	48000.000	12-ZOOM0015	e	2022
73	Waveform 1	2	9.741314784	9.741314784	0.000	48000.000	12-ZOOM0015	e	2022
