Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	file	syllable	year
1	Waveform 1	1	11.767840617	11.767840617	0.000	48000.000	8-ZOOM0004	a	2022
2	Waveform 1	1	11.775274867	11.775274867	0.000	48000.000	8-ZOOM0004	a	2022
3	Waveform 1	1	11.783714928	11.783714928	0.000	48000.000	8-ZOOM0004	a	2022
4	Waveform 1	1	11.794274617	11.794274617	0.000	48000.000	8-ZOOM0004	a	2022
5	Waveform 1	1	11.803178192	11.803178192	0.000	48000.000	8-ZOOM0004	a	2022
6	Waveform 1	1	11.812399530	11.812399530	0.000	48000.000	8-ZOOM0004	a	2022
7	Waveform 1	1	11.823612026	11.823612026	0.000	48000.000	8-ZOOM0004	a	2022
8	Waveform 1	1	11.831495051	11.831495051	0.000	48000.000	8-ZOOM0004	a	2022
9	Waveform 1	1	11.841526997	11.841526997	0.000	48000.000	8-ZOOM0004	a	2022
10	Waveform 1	1	11.850057420	11.850057420	0.000	48000.000	8-ZOOM0004	a	2022
11	Waveform 1	1	11.859349482	11.859349482	0.000	48000.000	8-ZOOM0004	a	2022
12	Waveform 1	1	11.870192037	11.870192037	0.000	48000.000	8-ZOOM0004	a	2022
13	Waveform 1	1	11.878439563	11.878439563	0.000	48000.000	8-ZOOM0004	a	2022
14	Waveform 1	1	11.889450768	11.889450768	0.000	48000.000	8-ZOOM0004	a	2022
15	Waveform 1	1	11.899852656	11.899852656	0.000	48000.000	8-ZOOM0004	a	2022
16	Waveform 1	1	12.204407897	12.204407897	0.000	48000.000	8-ZOOM0004	b	2022
17	Waveform 1	1	12.211604700	12.211604700	0.000	48000.000	8-ZOOM0004	b	2022
18	Waveform 1	1	12.219912064	12.219912064	0.000	48000.000	8-ZOOM0004	b	2022
19	Waveform 1	1	12.230841664	12.230841664	0.000	48000.000	8-ZOOM0004	b	2022
20	Waveform 1	1	12.239034787	12.239034787	0.000	48000.000	8-ZOOM0004	b	2022
21	Waveform 1	1	12.248103795	12.248103795	0.000	48000.000	8-ZOOM0004	b	2022
22	Waveform 1	1	12.258940910	12.258940910	0.000	48000.000	8-ZOOM0004	b	2022
23	Waveform 1	1	12.267019786	12.267019786	0.000	48000.000	8-ZOOM0004	b	2022
24	Waveform 1	1	12.277541361	12.277541361	0.000	48000.000	8-ZOOM0004	b	2022
25	Waveform 1	1	12.285097966	12.285097966	0.000	48000.000	8-ZOOM0004	b	2022
26	Waveform 1	1	12.294879658	12.294879658	0.000	48000.000	8-ZOOM0004	b	2022
27	Waveform 1	1	12.304492705	12.304492705	0.000	48000.000	8-ZOOM0004	b	2022
28	Waveform 1	1	12.312424686	12.312424686	0.000	48000.000	8-ZOOM0004	b	2022
29	Waveform 1	1	12.323604541	12.323604541	0.000	48000.000	8-ZOOM0004	b	2022
30	Waveform 1	1	12.331623573	12.331623573	0.000	48000.000	8-ZOOM0004	b	2022
31	Waveform 1	1	12.343004720	12.343004720	0.000	48000.000	8-ZOOM0004	b	2022
32	Waveform 1	1	12.352606887	12.352606887	0.000	48000.000	8-ZOOM0004	b	2022
33	Waveform 1	1	12.363977153	12.363977153	0.000	48000.000	8-ZOOM0004	b	2022
34	Waveform 1	1	12.788889048	12.788889048	0.000	48000.000	8-ZOOM0004	c	2022
35	Waveform 1	1	12.796030961	12.796030961	0.000	48000.000	8-ZOOM0004	c	2022
36	Waveform 1	1	12.804528742	12.804528742	0.000	48000.000	8-ZOOM0004	c	2022
37	Waveform 1	1	12.815104721	12.815104721	0.000	48000.000	8-ZOOM0004	c	2022
38	Waveform 1	1	12.824168290	12.824168290	0.000	48000.000	8-ZOOM0004	c	2022
39	Waveform 1	1	12.833155700	12.833155700	0.000	48000.000	8-ZOOM0004	c	2022
40	Waveform 1	1	12.844041777	12.844041777	0.000	48000.000	8-ZOOM0004	c	2022
41	Waveform 1	1	12.852180497	12.852180497	0.000	48000.000	8-ZOOM0004	c	2022
42	Waveform 1	1	12.863006731	12.863006731	0.000	48000.000	8-ZOOM0004	c	2022
43	Waveform 1	1	12.870595971	12.870595971	0.000	48000.000	8-ZOOM0004	c	2022
44	Waveform 1	1	12.880453833	12.880453833	0.000	48000.000	8-ZOOM0004	c	2022
45	Waveform 1	1	12.891252865	12.891252865	0.000	48000.000	8-ZOOM0004	c	2022
46	Waveform 1	1	12.899429667	12.899429667	0.000	48000.000	8-ZOOM0004	c	2022
47	Waveform 1	1	12.910375588	12.910375588	0.000	48000.000	8-ZOOM0004	c	2022
48	Waveform 1	1	12.919760136	12.919760136	0.000	48000.000	8-ZOOM0004	c	2022
49	Waveform 1	1	12.932261990	12.932261990	0.000	48000.000	8-ZOOM0004	c	2022
50	Waveform 1	1	13.234761274	13.234761274	0.000	48000.000	8-ZOOM0004	d	2022
51	Waveform 1	1	13.241756299	13.241756299	0.000	48000.000	8-ZOOM0004	d	2022
52	Waveform 1	1	13.250090864	13.250090864	0.000	48000.000	8-ZOOM0004	d	2022
53	Waveform 1	1	13.260840933	13.260840933	0.000	48000.000	8-ZOOM0004	d	2022
54	Waveform 1	1	13.268859966	13.268859966	0.000	48000.000	8-ZOOM0004	d	2022
