file,batch,file_name,site,temp_id,population,n_coor,w_coor,year,date,time,day_night,distance,weather,wind,temperature,Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),syllable,delta_time
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,35,Waveform 1,2,21.88431467,21.88431467,0,48000,c,0.010963757
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,36,Waveform 1,2,21.89527843,21.89527843,0,48000,c,0.006776241
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,37,Waveform 1,2,21.90205467,21.90205467,0,48000,c,0.010534008
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,38,Waveform 1,2,21.91258867,21.91258867,0,48000,c,0.00810108
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,39,Waveform 1,2,21.92068975,21.92068975,0,48000,c,0.009904236
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,40,Waveform 1,2,21.93059399,21.93059399,0,48000,c,0.010361486
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,46,Waveform 1,2,22.32034121,22.32034121,0,48000,d,0.008613317
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,47,Waveform 1,2,22.32895452,22.32895452,0,48000,d,0.008592877
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,48,Waveform 1,2,22.3375474,22.3375474,0,48000,d,0.011086184
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,49,Waveform 1,2,22.34863358,22.34863358,0,48000,d,0.007574848
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,50,Waveform 1,2,22.35620843,22.35620843,0,48000,d,0.010982656
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,51,Waveform 1,2,22.36719109,22.36719109,0,48000,d,0.006824268
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,52,Waveform 1,2,22.37401536,22.37401536,0,48000,d,0.009869727
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,53,Waveform 1,2,22.38388508,22.38388508,0,48000,d,0.009610905
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,54,Waveform 1,2,22.39349599,22.39349599,0,48000,d,0.008679151
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,55,Waveform 1,2,22.40217514,22.40217514,0,48000,d,0.011552007
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,61,Waveform 1,2,23.0460054,23.0460054,0,48000,e,0.007197406
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,62,Waveform 1,2,23.05320281,23.05320281,0,48000,e,0.008879492
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,63,Waveform 1,2,23.0620823,23.0620823,0,48000,e,0.010930812
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,64,Waveform 1,2,23.07301311,23.07301311,0,48000,e,0.00799728
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,65,Waveform 1,2,23.08101039,23.08101039,0,48000,e,0.011196194
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,66,Waveform 1,2,23.09220658,23.09220658,0,48000,e,0.006806654
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,67,Waveform 1,2,23.09901324,23.09901324,0,48000,e,0.010285291
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,68,Waveform 1,2,23.10929853,23.10929853,0,48000,e,0.008033143
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,69,Waveform 1,2,23.11733167,23.11733167,0,48000,e,0.009847773
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,70,Waveform 1,2,23.12717945,23.12717945,0,48000,e,0.011131642
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,76,Waveform 1,2,23.49278427,23.49278427,0,48000,f,0.007319335
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,77,Waveform 1,2,23.5001036,23.5001036,0,48000,f,0.008728871
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,78,Waveform 1,2,23.50883247,23.50883247,0,48000,f,0.010966675
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,79,Waveform 1,2,23.51979915,23.51979915,0,48000,f,0.007466518
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,80,Waveform 1,2,23.52726566,23.52726566,0,48000,f,0.010916468
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,81,Waveform 1,2,23.53818213,23.53818213,0,48000,f,0.00673493
1-ZOOM0001,1,ZOOM0001,Drumnatinny,A,w_donegal,55.156601,-8.087614,2022,2022-04-20,21:46,n,5,1/8,1,11,82,Waveform 1,2,23.54491706,23.54491706,0,48000,f,0.009998394
